location,population,total_vaccinations
China,1444216102,2147483647
India,1393409033,965904347
"United States",332915074,404371247
Brazil,213993441,249340259
Japan,126050796,177622120
Indonesia,276361788,162097315
Turkey,85042736,113183300
Germany,83900471,109319623
Mexico,130262220,108947179
France,67564251,96590046
Russia,145912022,95156230
"United Kingdom",68207114,94492698
Pakistan,225199929,93551193
Italy,60367471,86868846
Spain,46745211,70859558
"South Korea",51305184,70348260
Thailand,69950844,61995809
Iran,85028760,57676540
Canada,38067913,57310773
Vietnam,98168829,56330750
Bangladesh,166303494,55723900
Argentina,45605823,54353322
Philippines,111046910,50936703
Malaysia,32776195,46252254
"Saudi Arabia",35340680,44219652
Colombia,51265841,43315450
Morocco,37344787,43122611
Poland,37797000,38043351
Chile,19212362,33522333
Australia,25788217,31679382
Peru,33359415,30240477
"South Africa",60041996,29679751
"Sri Lanka",21497306,27285321
Cambodia,16946446,25772396
Netherlands,17173094,23767664
Cuba,11317498,23149042
Uzbekistan,33935765,21978290
Ecuador,17888474,21254562
"United Arab Emirates",9991083,20552839
Egypt,104258327,20154366
Taiwan,23855008,18766730
Belgium,11632334,16719897
Venezuela,28704947,16127242
Portugal,10167923,16104710
Israel,8789776,15685237
Kazakhstan,18994958,14898507
Nepal,29674920,14852777
Ukraine,43466822,14124223
Algeria,44616626,14082920
Sweden,10160159,14066547
Greece,10370747,12347016
Myanmar,54806014,12263702
"Dominican Republic",10953714,12229780
Hungary,9634162,12111107
Czechia,10724553,11887287
Austria,9043072,10982143
Romania,19127772,10814828
Switzerland,8715494,10715429
Singapore,5896684,9736175
Azerbaijan,10223344,9037099
"Hong Kong",7552800,8844066
Denmark,5813302,8808728
Tunisia,11935764,8540640
"El Salvador",6518500,8062316
Norway,5465629,7882143
Finland,5548361,7813026
Guatemala,18249868,7809902
Iraq,41179351,7608508
Turkmenistan,6117933,7580976
Ireland,4982904,7264266
Jordan,10269022,7199291
Nigeria,211400704,7130171
Bolivia,11832936,6931689
Serbia,6908224,6678484
Uruguay,3485152,6435339
"New Zealand",4860642,6044813
"Costa Rica",5139053,5921089
Honduras,10062994,5817602
Zimbabwe,15092171,5632534
Panama,4381583,5277886
Oman,5223376,5254466
Paraguay,7219641,4836914
Qatar,2930524,4776367
Slovakia,5460726,4745156
Laos,7379358,4402770
Mongolia,3329282,4388414
Tajikistan,9749625,4362853
Kenya,54985702,4210315
Angola,33933611,4074677
Ethiopia,117876226,3918985
Rwanda,13276517,3888869
Belarus,9442867,3862369
Mozambique,32163045,3677063
Croatia,4081657,3496972
Lithuania,2689862,3291649
Lebanon,6769151,3081683
Bahrain,1748295,2684265
Uganda,47123533,2615807
Bulgaria,6896655,2607096
"Cote d'Ivoire",27053629,2490820
Kuwait,4328553,2375455
Afghanistan,39835428,2369625
Palestine,5222756,2301812
Slovenia,2078723,2192542
Ghana,31732128,2189552
Guinea,13497237,1925558
Georgia,3979773,1889200
Senegal,17196308,1828842
Albania,2872934,1810433
Latvia,1866934,1728488
Libya,6958538,1689252
Mauritius,1273428,1686047
Kyrgyzstan,6628347,1565476
"North Macedonia",2082661,1544531
Sudan,44909351,1499982
Kosovo,1775378,1476104
Moldova,4024025,1446037
Estonia,1325188,1392591
"Bosnia and Herzegovina",3263459,1242203
Togo,8478242,1215025
Cyprus,896005,1188888
"Trinidad and Tobago",1403374,1160173
Malawi,19647681,1122514
Mauritania,4775110,1118158
Fiji,902899,1090963
Bhutan,779900,1083271
Nicaragua,6702379,999990
Jamaica,2973462,846389
Malta,514564,844723
Zambia,18920657,818523
Syria,18275704,811852
Luxembourg,634814,799074
Timor,1343875,761656
Maldives,543620,740902
Botswana,2397240,690001
Macao,658391,684611
Niger,25130810,646086
Tanzania,61498438,595938
Guyana,790329,593900
Iceland,343360,558483
Brunei,441532,552265
Somalia,16359500,542501
Armenia,2968128,514241
"Northern Cyprus",0,491206
Montenegro,628051,477395
Cameroon,27224262,476512
Namibia,2587344,472404
"Cape Verde",561901,460484
Suriname,591798,421648
"Equatorial Guinea",1449891,414506
Mali,20855724,413563
Lesotho,2159067,383341
Madagascar,28427333,381633
Congo,5657017,372046
Comoros,888456,360675
Yemen,30490639,356173
Belize,404915,344463
"French Polynesia",282534,298182
"Burkina Faso",21497097,297231
"New Caledonia",288217,286813
Eswatini,1172369,258552
Barbados,287708,255645
Benin,12451031,247674
"Sierra Leone",8141343,236465
Bahamas,396914,224531
Gambia,2486937,208379
"Central African Republic",4919987,207004
"Papua New Guinea",9119005,194962
Curacao,164796,189304
Gabon,2278829,186365
Chad,16914985,173184
Samoa,200144,172316
Jersey,101073,159090
Aruba,107195,157866
Seychelles,98910,148402
"Solomon Islands",703995,141920
"Democratic Republic of Congo",92377986,140254
"Isle of Man",85410,129510
Guinea-Bissau,2015490,117768
"South Sudan",11381377,113013
"Cayman Islands",66498,109668
Guernsey,67052,102340
Andorra,77354,102032
"Sao Tome and Principe",223364,101065
"Antigua and Barbuda",98728,98840
Haiti,11541683,96073
Liberia,5180208,93617
Djibouti,1002197,92097
Bermuda,62092,87723
Vanuatu,314464,87583
"Saint Lucia",184401,84799
Gibraltar,33691,81080
Greenland,56868,76470
"Faeroe Islands",49053,75647
Tonga,106759,74503
Grenada,113015,62095
"Turks and Caicos Islands",39226,54417
Kiribati,121388,51428
"Sint Maarten (Dutch part)",43421,50118
Monaco,39520,49980
"Saint Kitts and Nevis",53546,48755
Dominica,72172,48091
Liechtenstein,38254,47151
"San Marino",34010,47028
"Bonaire Sint Eustatius and Saba",26445,35845
"Saint Vincent and the Grenadines",111269,35118
"British Virgin Islands",30423,33075
"Cook Islands",17572,22536
Anguilla,15125,18704
Nauru,10873,14863
"Wallis and Futuna",11094,11009
Tuvalu,11925,10861
"Saint Helena",6095,7892
"Falkland Islands",3528,4407
Montserrat,4981,2911
Niue,1614,2352
Tokelau,1368,1936
Pitcairn,47,94
Burundi,12255429,0
Eritrea,3601462,0
"Marshall Islands",59618,0
"Micronesia (country)",116255,0
Palau,18174,0
Vatican,812,0
