location,avg_tests_per_day
"United States",938798.5214
India,936808.1701
"United Kingdom",455588.9148
Russia,314530.8441
China,253565.7686
Turkey,154918.7285
Italy,153265.5482
Austria,151386.5494
"United Arab Emirates",139818.0929
Germany,119489.1828
Spain,95514.2399
Slovakia,72012.5724
Canada,70472.1786
Denmark,66938.1855
Australia,63705.7815
Iran,55307.8939
Brazil,53215.6493
"Saudi Arabia",49798.4941
Israel,47055.9967
Colombia,44215.9489
Indonesia,42997.7107
"Hong Kong",41120.7349
Malaysia,40589.0541
Vietnam,39478.5730
Japan,38581.3296
Chile,37052.5543
Argentina,37049.2270
Greece,36469.5290
Poland,35156.2818
Pakistan,33422.9430
Belgium,33195.6036
Philippines,32917.8347
Singapore,32438.7095
Portugal,31548.3516
"South Africa",29048.2894
Iraq,25649.5936
Cyprus,23651.2547
Ukraine,22582.1898
Netherlands,22537.8017
Romania,22306.7181
Thailand,21881.6456
"South Korea",21711.5095
Kazakhstan,20629.4276
Switzerland,18023.8593
Jordan,17351.8881
Bangladesh,16792.0695
Mexico,15934.3589
Georgia,14932.8859
Morocco,14396.5902
Belarus,14166.2475
Norway,13195.5721
Ireland,12932.0809
Finland,11578.3926
Hungary,11221.8068
Bahrain,11057.3813
Serbia,9856.4245
Cuba,9116.6299
Lithuania,9075.8010
"Sri Lanka",8554.3578
Bulgaria,8530.2906
Peru,8496.9233
Azerbaijan,8366.1098
Lebanon,7872.5058
Myanmar,7731.4788
Kuwait,7341.1171
Mongolia,7003.3328
Nepal,6778.3487
Panama,6689.5702
Uruguay,6268.4328
Ethiopia,6133.9828
"New Zealand",6092.8519
Luxembourg,5906.3067
Taiwan,5681.9042
Latvia,5565.7700
Nigeria,5291.1970
Rwanda,5088.3506
Tunisia,5083.2716
Croatia,4879.6918
Qatar,4592.4823
Zambia,4364.5217
Bolivia,4220.1546
Guatemala,3683.8628
Cambodia,3657.3163
"Dominican Republic",3445.2044
"Costa Rica",3283.3526
Estonia,3226.2456
Paraguay,3151.7969
Moldova,3116.2034
Botswana,3069.9680
Armenia,2991.4088
Uganda,2982.1818
Ecuador,2974.7652
Kenya,2854.0204
Maldives,2638.8137
Slovenia,2622.9710
Ghana,2457.5406
Zimbabwe,2248.5794
Malta,2222.7585
"Bosnia and Herzegovina",2131.7891
"North Macedonia",2109.9362
Kosovo,2102.5492
Gabon,2053.2504
Bhutan,1977.6116
"Cote d'Ivoire",1769.5928
Mozambique,1579.5114
"El Salvador",1554.9895
Senegal,1394.9983
Albania,1234.5293
Namibia,1232.2332
Benin,1110.2010
Iceland,1092.1695
Laos,1076.2917
Jamaica,1061.2801
Togo,880.4414
"Trinidad and Tobago",610.3161
Malawi,549.2305
Belize,489.2877
Fiji,480.9583
Mauritania,439.1744
Madagascar,428.2653
"Equatorial Guinea",398.7734
Timor,366.2452
Andorra,365.0305
"South Sudan",295.2819
Bahamas,255.8631
Gambia,190.7951
"Papua New Guinea",144.0070
"Saint Vincent and the Grenadines",133.2919
Liechtenstein,118.3871
"Saint Kitts and Nevis",81.6549
"Antigua and Barbuda",28.7931
Afghanistan,0.0000
Algeria,0.0000
Angola,0.0000
Anguilla,0.0000
Aruba,0.0000
Barbados,0.0000
Bermuda,0.0000
"Bonaire Sint Eustatius and Saba",0.0000
"British Virgin Islands",0.0000
Brunei,0.0000
"Burkina Faso",0.0000
Burundi,0.0000
Cameroon,0.0000
"Cape Verde",0.0000
"Cayman Islands",0.0000
"Central African Republic",0.0000
Chad,0.0000
Comoros,0.0000
Congo,0.0000
"Cook Islands",0.0000
Curacao,0.0000
Czechia,0.0000
"Democratic Republic of Congo",0.0000
Djibouti,0.0000
Dominica,0.0000
Egypt,0.0000
Eritrea,0.0000
Eswatini,0.0000
"Faeroe Islands",0.0000
"Falkland Islands",0.0000
France,0.0000
"French Polynesia",0.0000
Gibraltar,0.0000
Greenland,0.0000
Grenada,0.0000
Guernsey,0.0000
Guinea,0.0000
Guinea-Bissau,0.0000
Guyana,0.0000
Haiti,0.0000
Honduras,0.0000
"Isle of Man",0.0000
Jersey,0.0000
Kiribati,0.0000
Kyrgyzstan,0.0000
Lesotho,0.0000
Liberia,0.0000
Libya,0.0000
Macao,0.0000
Mali,0.0000
"Marshall Islands",0.0000
Mauritius,0.0000
"Micronesia (country)",0.0000
Monaco,0.0000
Montenegro,0.0000
Montserrat,0.0000
Nauru,0.0000
"New Caledonia",0.0000
Nicaragua,0.0000
Niger,0.0000
Niue,0.0000
"Northern Cyprus",0.0000
Oman,0.0000
Palau,0.0000
Palestine,0.0000
Pitcairn,0.0000
"Saint Helena",0.0000
"Saint Lucia",0.0000
Samoa,0.0000
"San Marino",0.0000
"Sao Tome and Principe",0.0000
Seychelles,0.0000
"Sierra Leone",0.0000
"Sint Maarten (Dutch part)",0.0000
"Solomon Islands",0.0000
Somalia,0.0000
Sudan,0.0000
Suriname,0.0000
Sweden,0.0000
Syria,0.0000
Tajikistan,0.0000
Tanzania,0.0000
Tokelau,0.0000
Tonga,0.0000
Turkmenistan,0.0000
"Turks and Caicos Islands",0.0000
Tuvalu,0.0000
Uzbekistan,0.0000
Vanuatu,0.0000
Vatican,0.0000
Venezuela,0.0000
"Wallis and Futuna",0.0000
Yemen,0.0000
