location,date,total_cases,total_deaths,death_perc
Brazil,2020-02-26,1,0,0.0000
Brazil,2020-02-27,1,0,0.0000
Brazil,2020-02-28,1,0,0.0000
Brazil,2020-02-29,2,0,0.0000
Brazil,2020-03-01,2,0,0.0000
Brazil,2020-03-02,2,0,0.0000
Brazil,2020-03-03,2,0,0.0000
Brazil,2020-03-04,4,0,0.0000
Brazil,2020-03-05,4,0,0.0000
Brazil,2020-03-06,13,0,0.0000
Brazil,2020-03-07,13,0,0.0000
Brazil,2020-03-08,20,0,0.0000
Brazil,2020-03-09,25,0,0.0000
Brazil,2020-03-10,31,0,0.0000
Brazil,2020-03-11,38,0,0.0000
Brazil,2020-03-12,52,0,0.0000
Brazil,2020-03-13,151,0,0.0000
Brazil,2020-03-14,151,0,0.0000
Brazil,2020-03-15,162,0,0.0000
Brazil,2020-03-16,200,0,0.0000
Brazil,2020-03-17,321,1,0.3115
Brazil,2020-03-18,372,3,0.8065
Brazil,2020-03-19,621,6,0.9662
Brazil,2020-03-20,793,11,1.3871
Brazil,2020-03-21,1021,15,1.4691
Brazil,2020-03-22,1546,25,1.6171
Brazil,2020-03-23,1924,34,1.7672
Brazil,2020-03-24,2247,46,2.0472
Brazil,2020-03-25,2554,59,2.3101
Brazil,2020-03-26,2985,77,2.5796
Brazil,2020-03-27,3417,92,2.6924
Brazil,2020-03-28,3904,111,2.8432
Brazil,2020-03-29,4256,136,3.1955
Brazil,2020-03-30,4579,159,3.4724
Brazil,2020-03-31,5717,201,3.5158
Brazil,2020-04-01,6836,240,3.5108
Brazil,2020-04-02,8044,324,4.0278
Brazil,2020-04-03,9056,359,3.9642
Brazil,2020-04-04,10360,445,4.2954
Brazil,2020-04-05,11130,486,4.3666
Brazil,2020-04-06,12161,564,4.6378
Brazil,2020-04-07,14034,686,4.8881
Brazil,2020-04-08,16170,819,5.0649
Brazil,2020-04-09,18092,950,5.2509
Brazil,2020-04-10,19638,1057,5.3824
Brazil,2020-04-11,20727,1124,5.4229
Brazil,2020-04-12,22192,1223,5.5110
Brazil,2020-04-13,23430,1328,5.6679
Brazil,2020-04-14,25262,1532,6.0644
Brazil,2020-04-15,28320,1736,6.1299
Brazil,2020-04-16,30425,1924,6.3237
Brazil,2020-04-17,33682,2141,6.3565
Brazil,2020-04-18,36658,2354,6.4215
Brazil,2020-04-19,38654,2462,6.3693
Brazil,2020-04-20,40743,2587,6.3496
Brazil,2020-04-21,43079,2741,6.3627
Brazil,2020-04-22,45757,2906,6.3509
Brazil,2020-04-23,50036,3331,6.6572
Brazil,2020-04-24,54043,3704,6.8538
Brazil,2020-04-25,59324,4057,6.8387
Brazil,2020-04-26,63100,4286,6.7924
Brazil,2020-04-27,67446,4603,6.8247
Brazil,2020-04-28,73235,5083,6.9407
Brazil,2020-04-29,79685,5513,6.9185
Brazil,2020-04-30,87187,6006,6.8886
Brazil,2020-05-01,92202,6412,6.9543
Brazil,2020-05-02,97100,6761,6.9629
Brazil,2020-05-03,101826,7051,6.9246
Brazil,2020-05-04,108620,7367,6.7824
Brazil,2020-05-05,115455,7938,6.8754
Brazil,2020-05-06,126611,8588,6.7830
Brazil,2020-05-07,135773,9190,6.7687
Brazil,2020-05-08,146894,10017,6.8192
Brazil,2020-05-09,156061,10656,6.8281
Brazil,2020-05-10,162699,11123,6.8366
Brazil,2020-05-11,169594,11653,6.8711
Brazil,2020-05-12,178214,12461,6.9922
Brazil,2020-05-13,190137,13240,6.9634
Brazil,2020-05-14,203165,13999,6.8905
Brazil,2020-05-15,220291,14962,6.7919
Brazil,2020-05-16,233511,15662,6.7072
Brazil,2020-05-17,241080,16118,6.6857
Brazil,2020-05-18,255368,16853,6.5995
Brazil,2020-05-19,271885,17983,6.6142
Brazil,2020-05-20,291579,18859,6.4679
Brazil,2020-05-21,310087,20047,6.4650
Brazil,2020-05-22,330890,21048,6.3610
