location,population,max_cases_count,max_death_count,infection_rate
Seychelles,98910,21826,118,22.0665
Montenegro,628051,136322,2005,21.7056
Andorra,77354,15314,130,19.7973
Georgia,3979773,645195,9332,16.2119
"San Marino",34010,5470,91,16.0835
Czechia,10724553,1705532,30518,15.9031
Maldives,543620,85838,237,15.7901
Bahrain,1748295,275862,1390,15.7789
Israel,8789776,1311295,7959,14.9184
Serbia,6908224,1024497,8892,14.8301
Slovenia,2078723,303882,4899,14.6187
Cyprus,896005,121700,560,13.5825
"United States",332915074,44684150,719558,13.4221
Lithuania,2689862,357801,5308,13.3018
Estonia,1325188,167828,1404,12.6645
Luxembourg,634814,79463,838,12.5175
"United Kingdom",68207114,8311851,138487,12.1862
Netherlands,17173094,2072255,18656,12.0669
Argentina,45605823,5268653,115582,11.5526
Sweden,10160159,1160465,14922,11.4217
Uruguay,3485152,390394,6065,11.2016
Belgium,11632334,1272669,25726,10.9408
Panama,4381583,469569,7275,10.7169
"Costa Rica",5139053,549084,6744,10.6845
Spain,46745211,4980206,86869,10.6539
France,67564251,7164924,118080,10.6046
Portugal,10167923,1077186,18065,10.5940
Croatia,4081657,421057,8829,10.3158
Brazil,213993441,21597949,601574,10.0928
Mongolia,3329282,332789,1497,9.9958
Switzerland,8715494,852658,11146,9.7832
Colombia,51265841,4975656,126726,9.7056
Kuwait,4328553,412196,2455,9.5227
Latvia,1866934,175890,2836,9.4213
"North Macedonia",2082661,195542,6875,9.3890
Liechtenstein,38254,3576,60,9.3480
Lebanon,6769151,631642,8400,9.3312
Armenia,2968128,275077,5646,9.2677
Kosovo,1775378,160464,2973,9.0383
Turkey,85042736,7540193,66841,8.8664
Chile,19212362,1664725,37755,8.6649
Hungary,9634162,830725,30330,8.6227
Palestine,5222756,445538,4532,8.5307
Austria,9043072,766542,11135,8.4766
Monaco,39520,3337,35,8.4438
Ireland,4982904,408021,5306,8.1884
Cuba,11317498,926320,7956,8.1848
Jordan,10269022,837255,10841,8.1532
Qatar,2930524,237662,607,8.1099
Slovakia,5460726,429886,12772,7.8723
Italy,60367471,4707087,131421,7.7974
Poland,37797000,2928065,75958,7.7468
Moldova,4024025,310776,7105,7.7230
Suriname,591798,45592,994,7.7040
Bulgaria,6896655,531129,22004,7.7013
Botswana,2397240,181251,2381,7.5608
"Bosnia and Herzegovina",3263459,242469,11046,7.4298
"United Arab Emirates",9991083,738152,2116,7.3881
Romania,19127772,1398264,40461,7.3101
Malta,514564,37393,459,7.2669
Malaysia,32776195,2361529,27593,7.2050
"Cape Verde",561901,37951,347,6.7540
Iran,85028760,5742083,123275,6.7531
Greece,10370747,684706,15241,6.6023
"Saint Lucia",184401,12095,232,6.5591
Peru,33359415,2186246,199746,6.5536
Paraguay,7219641,460277,16207,6.3753
Denmark,5813302,367797,2676,6.3268
Ukraine,43466822,2697176,63414,6.2051
Albania,2872934,176172,2788,6.1321
Belarus,9442867,563813,4336,5.9708
Tunisia,11935764,710322,25053,5.9512
Oman,5223376,304013,4103,5.8202
Fiji,902899,51648,663,5.7202
Dominica,72172,4113,28,5.6989
Belize,404915,22947,442,5.6671
Bahamas,396914,21580,590,5.4369
Russia,145912022,7742899,215438,5.3066
Kazakhstan,18994958,988365,16544,5.2033
Germany,83900471,4343591,94407,5.1771
Grenada,113015,5670,184,5.0170
Libya,6958538,348088,4832,5.0023
Namibia,2587344,128187,3529,4.9544
Iraq,41179351,2028115,22655,4.9251
"South Africa",60041996,2913880,88466,4.8531
Azerbaijan,10223344,495332,6709,4.8451
"Saint Kitts and Nevis",53546,2466,21,4.6054
Canada,38067913,1678511,28422,4.4093
Guyana,790329,33973,851,4.2986
Bolivia,11832936,505157,18811,4.2691
Barbados,287708,11785,103,4.0962
Eswatini,1172369,46330,1231,3.9518
"Antigua and Barbuda",98728,3817,93,3.8662
"Trinidad and Tobago",1403374,53216,1572,3.7920
Honduras,10062994,371431,10064,3.6911
"Saint Vincent and the Grenadines",111269,4096,38,3.6812
Iceland,343360,12342,33,3.5945
Norway,5465629,195029,884,3.5683
"Dominican Republic",10953714,367379,4077,3.3539
Vatican,812,27,0,3.3251
Guatemala,18249868,583201,14177,3.1956
Jamaica,2973462,86507,2053,2.9093
Mexico,130262220,3738749,283193,2.8702
Ecuador,17888474,512071,32848,2.8626
Nepal,29674920,803878,11261,2.7089
Kyrgyzstan,6628347,179492,2624,2.7079
Finland,5548361,148672,1111,2.6796
Morocco,37344787,940503,14500,2.5184
Thailand,69950844,1740428,17917,2.4881
"Sri Lanka",21497306,528415,13408,2.4581
India,1393409033,34020730,451435,2.4415
Philippines,111046910,2690455,40069,2.4228
Singapore,5896684,135395,192,2.2961
Brunei,441532,9665,67,2.1890
"El Salvador",6518500,107664,3420,1.6517
"Sao Tome and Principe",223364,3649,56,1.6337
"Saudi Arabia",35340680,547761,8753,1.5499
Indonesia,276361788,4231046,142811,1.5310
Timor,1343875,19690,119,1.4652
Gabon,2278829,32576,205,1.4295
Japan,126050796,1713471,18032,1.3593
Venezuela,28704947,385952,4652,1.3445
Djibouti,1002197,13347,179,1.3318
Mauritius,1273428,16472,123,1.2935
Zambia,18920657,209411,3657,1.1068
Lesotho,2159067,21481,653,0.9949
Bangladesh,166303494,1564019,27730,0.9405
"Equatorial Guinea",1449891,12840,156,0.8856
Myanmar,54806014,482803,18222,0.8809
Zimbabwe,15092171,132108,4648,0.8753
Vietnam,98168829,849691,20869,0.8655
Mauritania,4775110,36509,785,0.7646
Rwanda,13276517,98926,1312,0.7451
Cambodia,16946446,115607,2559,0.6822
"South Korea",51305184,337679,2618,0.6582
Pakistan,225199929,1261685,28201,0.5603
