location,total_vaccinations
China,2147483647
India,965904347
"United States",404371247
Brazil,249340259
Japan,177622120
Indonesia,162097315
Turkey,113183300
Germany,109319623
Mexico,108947179
France,96590046
Russia,95156230
"United Kingdom",94492698
Pakistan,93551193
Italy,86868846
Spain,70859558
"South Korea",70348260
Thailand,61995809
Iran,57676540
Canada,57310773
Vietnam,56330750
Bangladesh,55723900
Argentina,54353322
Philippines,50936703
Malaysia,46252254
"Saudi Arabia",44219652
Colombia,43315450
Morocco,43122611
Poland,38043351
Chile,33522333
Australia,31679382
Peru,30240477
"South Africa",29679751
"Sri Lanka",27285321
Cambodia,25772396
Netherlands,23767664
Cuba,23149042
Uzbekistan,21978290
Ecuador,21254562
"United Arab Emirates",20552839
Egypt,20154366
Taiwan,18766730
Belgium,16719897
Venezuela,16127242
Portugal,16104710
Israel,15685237
Kazakhstan,14898507
Nepal,14852777
Ukraine,14124223
Algeria,14082920
Sweden,14066547
Greece,12347016
Myanmar,12263702
"Dominican Republic",12229780
Hungary,12111107
Czechia,11887287
Austria,10982143
Romania,10814828
Switzerland,10715429
Singapore,9736175
Azerbaijan,9037099
"Hong Kong",8844066
Denmark,8808728
Tunisia,8540640
"El Salvador",8062316
Norway,7882143
Finland,7813026
Guatemala,7809902
Iraq,7608508
Turkmenistan,7580976
Ireland,7264266
Jordan,7199291
Nigeria,7130171
Bolivia,6931689
Serbia,6678484
Uruguay,6435339
"New Zealand",6044813
"Costa Rica",5921089
Honduras,5817602
Zimbabwe,5632534
Panama,5277886
Oman,5254466
Paraguay,4836914
Qatar,4776367
Slovakia,4745156
Laos,4402770
Mongolia,4388414
Tajikistan,4362853
Kenya,4210315
Angola,4074677
Ethiopia,3918985
Rwanda,3888869
Belarus,3862369
Mozambique,3677063
Croatia,3496972
Lithuania,3291649
Lebanon,3081683
Bahrain,2684265
Uganda,2615807
Bulgaria,2607096
"Cote d'Ivoire",2490820
Kuwait,2375455
Afghanistan,2369625
Palestine,2301812
Slovenia,2192542
Ghana,2189552
Guinea,1925558
Georgia,1889200
Senegal,1828842
Albania,1810433
Latvia,1728488
Libya,1689252
Mauritius,1686047
Kyrgyzstan,1565476
"North Macedonia",1544531
Sudan,1499982
Kosovo,1476104
Moldova,1446037
Estonia,1392591
"Bosnia and Herzegovina",1242203
Togo,1215025
Cyprus,1188888
"Trinidad and Tobago",1160173
Malawi,1122514
Mauritania,1118158
Fiji,1090963
Bhutan,1083271
Nicaragua,999990
Jamaica,846389
Malta,844723
Zambia,818523
Syria,811852
Luxembourg,799074
Timor,761656
Maldives,740902
Botswana,690001
Macao,684611
Niger,646086
Tanzania,595938
Guyana,593900
Iceland,558483
Brunei,552265
Somalia,542501
Armenia,514241
"Northern Cyprus",491206
Montenegro,477395
Cameroon,476512
Namibia,472404
"Cape Verde",460484
Suriname,421648
"Equatorial Guinea",414506
Mali,413563
Lesotho,383341
Madagascar,381633
Congo,372046
Comoros,360675
Yemen,356173
Belize,344463
"French Polynesia",298182
"Burkina Faso",297231
"New Caledonia",286813
Eswatini,258552
Barbados,255645
Benin,247674
"Sierra Leone",236465
Bahamas,224531
Gambia,208379
"Central African Republic",207004
"Papua New Guinea",194962
Curacao,189304
Gabon,186365
Chad,173184
Samoa,172316
Jersey,159090
Aruba,157866
Seychelles,148402
"Solomon Islands",141920
"Democratic Republic of Congo",140254
"Isle of Man",129510
Guinea-Bissau,117768
"South Sudan",113013
"Cayman Islands",109668
Guernsey,102340
Andorra,102032
"Sao Tome and Principe",101065
"Antigua and Barbuda",98840
Haiti,96073
Liberia,93617
Djibouti,92097
Bermuda,87723
Vanuatu,87583
"Saint Lucia",84799
Gibraltar,81080
Greenland,76470
"Faeroe Islands",75647
Tonga,74503
Grenada,62095
"Turks and Caicos Islands",54417
Kiribati,51428
"Sint Maarten (Dutch part)",50118
Monaco,49980
"Saint Kitts and Nevis",48755
Dominica,48091
Liechtenstein,47151
"San Marino",47028
"Bonaire Sint Eustatius and Saba",35845
"Saint Vincent and the Grenadines",35118
"British Virgin Islands",33075
"Cook Islands",22536
Anguilla,18704
Nauru,14863
"Wallis and Futuna",11009
Tuvalu,10861
"Saint Helena",7892
"Falkland Islands",4407
Montserrat,2911
Niue,2352
Tokelau,1936
Pitcairn,94
Burundi,0
Eritrea,0
"Marshall Islands",0
"Micronesia (country)",0
Palau,0
Vatican,0
